# Indian Food Composition Tables 2017
# T. Longvah, R. Ananthan, K. Bhaskarachary and K. Venkaiah
#
# Copyright  © 2017 by National Institute of Nutrition
# Indian Council of Medical Research
# Department of Health Research Ministry of Health and Family Welfare, Government of India
# Jamai Osmania (PO), Hyderabad – 500 007
# Telangana, India Phone: +91 40 27197334, Fax: +91 40 27000339, Email: nin@ap.nic.in
#
# COLUMN DESCRIPTIONS
# - Column Code
# - Parents
code,parents
code,
name,
grup,
regn,
tags,
scie,name
lang,name
#
# TABLE 1
enerc,
water,
ash,
vit,
fatce,
cholc,
fibtg,
choavldf,
protcnt,
amiac,
cartoid,
polyph,
phystr,
tocph,
toctr,
orgac,
phytac,
sapon,
mnrleq,ash
mnrlet,ash
mnrlpet,ash
mnrlnet,ash
mnrltx,ash
vita,vit
vitb,vit
vitc,vit
vitd,vit
vite,vit
vitk,vit
fasat,fatce
fauns,fatce
faess,fatce
facis,fatce
fatrn,fatce
fibins,fibtg
fibsol,fibtg
#
# TABLE 2
thia,vitb
ribf,vitb
nia,vitb
pantac,vitb
vitb6c,vitb
biot,vitb
folsum,vitb
#
# TABLE 3
retol,vita
ergcal,vitd
chocal,vitd
doh25,vitd
tocpha,tocph
tocphb,tocph
tocphg,tocph
tocphd,tocph
toctra,toctr
toctrb,toctr
toctrg,toctr
toctrd,toctr
vitk1,vitk
vitk2,vitk
#
# TABLE 4
lutn,xantp
zea,xantp
crypxb,xantp
lycpn,carot
cartg,carot
carta,carot
cartb,carot
#
# TABLE 5-1
al,mnrlnet
as,mnrlet
cd,mnrlnet
ca,mnrleq
cr,mnrlet
co,mnrlet
cu,mnrlet
fe,mnrlet
pb,mnrlnet
li,mnrlpet
#
# TABLE 5-2
mg,mnrleq
mn,mnrlet
hg,mnrltx
mo,mnrlet
ni,mnrlet
p,mnrleq
k,mnrleq
se,mnrlet
na,mnrleq
zn,mnrlet
#
# TABLE 6
cho,choavldf
starch,cho
olsac,starch
frus,fsugar
glus,fsugar
sucs,fsugar
mals,fsugar
fsugar,cho
lactose,fsugar
#
# TABLE 7-1
f4d0,fasat
f6d0,fasat
f8d0,fasat
f10d0,fasat
f11d0,fasat
f12d0,fasat
f14d0,fasat
f15d0,fasat
f16d0,fasat
f18d0,fasat
f20d0,fasat
f22d0,fasat
f24d0,fasat
f14d1cn5,facn5 fams
f16d1cn7,facn7 fams
f18d1cn9,facn9 fams
f18d1tn9,fatrn fams
f20d1cn9,facn9 fams
f22d1cn9,facn9 fams
f24d1cn9,facn9 fams
f18d2cn6,facn6 fapu faess
f20d2n6,facn6 fapu
f22d2n6,facn6 fapu
f18d3n3,facn3 fapu faess
f20d3n6,facn6 fapu
f20d4n6,facn6 fapu faess
f20d5n3,facn3 fapu faess
f22d5n3,facn3 fapu
f22d6n3,facn3 fapu faess
fams,fauns
fapu,fauns
#
# TABLE 7-4
# TABLE 7-5
# TABLE 7-6
# TABLE 7-7
# TABLE 7-8
# TABLE 8-1
his,amiace
ile,amiace
leu,amiace
lys,amiace
met,amiace
cys,amiacce
phe,amiace
thr,amiace
trp,amiace
val,amiace
#
# TABLE 8-2
ala,amiacne
arg,amiacce
asp,amiacne
glu,amiacne
gly,amiacce
pro,amiacce
ser,amiacne
tyr,amiacce
#
# TABLE 9
oxalt,orgac
oxals,oxalt
oxali,oxalt
caconac,orgac
citac,orgac
fumac,orgac
malac,orgac
quinac,orgac
sucac,orgac
tarac,orgac
#
# TABLE 10-1
dhbenzac34,polyph
hbenzal3,polyph
pcathac,polyph
vanlac,polyph
gallac,polyph
cinmac,polyph
coumaco,polyph
coumacp,polyph
caffac,polyph
#
# TABLE 10-2
chlrac,polyph
ferac,polyph
apigen,polyph
apigen6cgls,polyph
apigen7onshps,polyph
luteol,polyph
kaemf,polyph
querce,polyph
querce3bdgls,polyph
querce3ortns,polyph
#
# TABLE 10-3
querce3bgls,polyph
isormt,polyph
myrct,polyph
rsvrtol,polyph
hespt,polyph
narng,polyph
hespd,polyph
daidzn,polyph
gnstein,polyph
epicatec,polyph
#
# TABLE 10-4
epicategc,polyph
epicatgc3gal,polyph
catec,polyph
galcatecgal,polyph
galcatec,polyph
syrgac,polyph
sinpac,polyph
ellgac,polyph
#
# TABLE 11
rafs,olsac
stas,olsac
vers,olsac
ajgs,olsac
camt,phystr
stgstr,phystr
stostrb,phystr
#
# TABLE ADDED
amiace,amiac
amiacce,amiac
amiacne,amiac
facn3,facis
facn6,facis
facn9,facis
facn5,facis
facn7,facis
carot,cartoid
xantp,cartoid
cartbeq,vita
